timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,1,llc,0.0,,1.9458898305892944,,,,0,0.00025,1.3169317245483398
2048,1,llc,0.0,,1.9370512962341309,0.4939882531762123,0.013775375948171131,0.02783946660631653,0,0.00025,3.006910800933838
3072,1,llc,0.0,,1.9187830686569214,0.4926169626414776,0.010038445507234428,0.02051833045071412,0,0.00025,4.678548336029053
4096,1,llc,0.0,,1.9238297939300537,0.4931123205460608,0.0085044795050635,0.017256836376675792,0,0.00025,6.3315324783325195
5120,1,llc,0.0,,1.9184585809707642,0.48830408602952957,0.008328427247761283,0.017168717681164722,0,0.00025,7.967666149139404
6144,1,llc,0.01585483870967742,,1.8798013925552368,0.488547220826149,0.0073332217943971045,0.015185539385606147,0,0.00025,9.63138222694397
7168,1,llc,0.01365277777777778,,1.8830161094665527,0.49540787283331156,0.008137055425322615,0.016428687970286304,0,0.00025,11.332367658615112
8192,1,llc,0.011987804878048782,,1.8712000846862793,0.4951596283353865,0.005778776405350072,0.011687642372521904,0,0.00025,13.019469261169434
9216,1,llc,0.028382978723404256,,1.860142469406128,0.4917420628480613,0.005575197770667728,0.011492588529678844,0,0.00025,14.67980170249939
10240,1,llc,0.026680000000000002,,1.8145509958267212,0.49545244546607137,0.011081207514507696,0.02239304236870029,0,0.00025,16.349072456359863
11264,1,llc,0.028399999999999998,,1.8098626136779785,0.49043080722913146,0.0062067738981568255,0.012781163364340061,0,0.00025,18.016276359558105
12288,1,llc,0.037230000000000006,,1.750504732131958,0.4962793053127825,0.004906373393168906,0.009905035595112802,0,0.00025,19.671927213668823
13312,1,llc,0.04471,,1.718625783920288,0.4897477438207716,0.007503521825128701,0.01576887885195137,0,0.00025,21.31768488883972
14336,1,llc,0.048499999999999995,,1.7613929510116577,0.4904376408085227,0.006849762201454723,0.014052675292045423,0,0.00025,22.967746019363403
15360,1,llc,0.04552,,1.7692031860351562,0.4906932422891259,0.005882519420993049,0.012101081849847824,0,0.00025,24.62290358543396
16384,1,llc,0.04832000000000001,,1.7053608894348145,0.48884127708151937,0.005994235252728686,0.012336408339488408,0,0.00025,26.282622814178467
17408,1,llc,0.05508,,1.6174837350845337,0.4831059721764177,0.007121551108866697,0.015515646904992679,0,0.00025,27.93871808052063
18432,1,llc,0.05265,,1.6184295415878296,0.46880840929225087,0.007657153051695786,0.016689310688892768,0,0.00025,29.618284702301025
19456,1,llc,0.05265,,1.5802744626998901,0.4887201697565615,0.0067779649325530045,0.01395074911786717,0,0.00025,31.279239892959595
20480,1,llc,0.05526,,1.5031096935272217,0.47653417102992535,0.003577538842364447,0.0076683657690460785,0,0.00025,32.95727229118347
